
Processing CalculateEfficincy.C...
Particle        :   Eff1  /   Eff2  /   Eff3  /  Ghost  / BackGr  / N Ghost / N BackGr / N Reco  / N Clone  |  N MC1  |  N MC2  |  N MC3 
JPsi_mm   Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D0              :  0.000  / -1.000  /  0.000  /  0.000  /  1.000  /      0  /       1  /      0  /       0  |    760  |      0  |    612
D0        Prim  :  0.000  / -1.000  /  0.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |    760  |      0  |    612
D0        Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D0b             :  0.000  / -1.000  /  0.000  /  0.000  /  1.000  /      0  /       3  /      0  /       0  |    727  |      0  |    566
D0b       Prim  :  0.000  / -1.000  /  0.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |    727  |      0  |    566
D0b       Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D0_4            : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D0_4      Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D0_4      Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D0b_4           : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D0b_4     Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D0b_4     Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D0_#pi0         : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D0_#pi0   Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D0_#pi0   Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D+              :  0.000  / -1.000  /  0.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |    669  |      0  |    474
D+        Prim  :  0.000  / -1.000  /  0.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |    669  |      0  |    474
D+        Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D-              :  0.000  / -1.000  /  0.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |    672  |      0  |    481
D-        Prim  :  0.000  / -1.000  /  0.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |    672  |      0  |    481
D-        Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Ds+             :  0.000  / -1.000  /  0.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |    761  |      0  |    548
Ds+       Prim  :  0.000  / -1.000  /  0.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |    761  |      0  |    548
Ds+       Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Ds-             :  0.000  / -1.000  /  0.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |    726  |      0  |    512
Ds-       Prim  :  0.000  / -1.000  /  0.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |    726  |      0  |    512
Ds-       Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Lambdac         :  0.000  / -1.000  /  0.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |    712  |      0  |    525
Lambdac   Prim  :  0.000  / -1.000  /  0.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |    712  |      0  |    525
Lambdac   Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Lambdac b       :  0.000  / -1.000  /  0.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |    698  |      0  |    514
Lambdac b Prim  :  0.000  / -1.000  /  0.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |    698  |      0  |    514
Lambdac b Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D*0             : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D*0       Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D*0       Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D*0 b           : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
D*0 b     Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
